0 0
0.2 0.0020360586
0.4 0.008066424
0.6 0.017861374
0.8 0.031050183
1 0.047138575
1.2 0.06553175
1.4 0.08556156
1.6 0.106516406
1.8 0.12767206
2 0.14832206
2.2 0.16780564
2.4 0.18553233
2.6 0.20100196
2.8 0.21381912
3 0.22370231
3.2 0.23048675
3.4 0.23412204
3.6 0.2346651
3.8 0.23226845
4 0.22716586
4.2 0.21965557
4.4 0.21008259
4.6 0.19882084
4.8 0.18625627
5 0.17277108
5.2 0.15873072
5.4 0.14447255
5.6 0.13029812
5.8 0.11646693
6 0.103193976
6.2 0.09064859
6.4 0.078955755
6.6 0.06819908
6.8 0.05842459
7 0.049645707
7.2 0.041848417
7.4 0.03499662
7.6 0.0290375
7.8 0.023906225
8 0.019530453
8.2 0.015834007
8.4 0.012740115
8.6 0.010173799
8.8 0.0080638835
9 0.0063441987
9.2 0.0049545113
9.4 0.0038409187
9.6 0.0029559429
9.8 0.0022584
10 0.0017130268
10.2 0.001290033
10.4 0.0009645482
10.6 0.00071605295
10.8 0.00052781124
11 0.00038630885
11.2 0.000280753
11.4 0.00020260827
11.6 0.0001451919
11.8 0.00010332154
12 0.00007301463
12.2 0.000051239924
12.4 0.00003571035
12.6 0.000024715728
12.8 0.0000169885
13 0.000011596985
13.2 0.000007862315
13.4 0.000005293913
13.6 0.0000035402095
13.8 0.0000023513373
14 0.0000015510952
14.2 0.000001016261
14.4 0.0000006613347
14.6 0.00000042745293
14.8 0.00000027441885
15 0.00000017498542
15.2 0.000000110829504
15.4 0.00000006972354
15.6 0.00000004356886
15.8 0.000000027042862
16 0.000000016672827
16.2 0.000000010210553
16.4 0.0000000062112666
16.6 0.0000000037531964
16.8 0.0000000022527753
17 0.0000000013431641
17.2 0.00000000079550283
17.4 0.00000000046801457
17.6 0.00000000027351474
17.8 0.00000000015878607
18 0.00000000009156975
18.2 0.00000000005245732
18.4 0.000000000029852187
18.6 0.000000000016875773
18.8 0.00000000000947705
19 0.0000000000052869224
19.2 0.0000000000029299247
19.4 0.0000000000016130142
19.6 0.0000000000008821592
19.8 0.00000000000047927726
